Cytokine,Disease,Reference,Uniprot
IL 12,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9147347/pdf/medicina 58 00680.pdf,P12643
IL 6,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9147347/pdf/medicina 58 00680.pdf,P22362
IL 18,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9147347/pdf/medicina 58 00680.pdf,P51671
IL 4,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9147347/pdf/medicina 58 00680.pdf,Q16663
IL 10,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9147347/pdf/medicina 58 00680.pdf,Q92583
IL 1,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9147347/pdf/medicina 58 00680.pdf,P55774
TNF alpha,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9147347/pdf/medicina 58 00680.pdf,Q99731
IFN alpha,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9147347/pdf/medicina 58 00680.pdf,P13500
IFN beta,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9147347/pdf/medicina 58 00680.pdf,P78556
CCL2,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7895323/pdf/nihms 1603595.pdf,O00585
CCL11,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7895323/pdf/nihms 1603595.pdf,O00626
CXCL11,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7895323/pdf/nihms 1603595.pdf,O15444
IFN gamma,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5597584/pdf/41598_2017_Article_10965.pdf,Q9Y258
IL 2,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5597584/pdf/41598_2017_Article_10965.pdf,Q9NRJ3
IL 5,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3924428/pdf/nihms547582.pdf,P10147
IL 17,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3924428/pdf/nihms547582.pdf,P13236
IL 8,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6580971/pdf/JVI.00618 19.pdf,P13501
CXCL2,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6580971/pdf/JVI.00618 19.pdf,P80098
CCL4,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6580971/pdf/JVI.00618 19.pdf,P80075
TGF beta,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7505640/pdf/cureus 0012 00000009908.pdf,N/A
CCL17,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6003673/pdf/main.pdf,Q9UBD9
CCL19,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6003673/pdf/main.pdf,P26441
CCL22,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6003673/pdf/main.pdf,P35354
CXCL16,Measles Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6003673/pdf/main.pdf,P09603
IL 1,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127657/pdf/main.pdf,P04141
IL 6,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127657/pdf/main.pdf,Q16619
